,City,Lat,Long,temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,dangriga,16.9692,-88.2321,86.99,79,88,13.15,BZ,1628440600
141,hirara,24.8,125.2833,81.68,86,78,12.68,JP,1628440601
142,autun,46.95,4.3,68.81,59,36,4.54,FR,1628440603
143,ganzhou,28.8184,115.4327,82.18,75,99,3.15,CN,1628440551
144,bom conselho,-9.1697,-36.6797,69.57,66,59,11.34,BR,1628440605
145,nador,35.174,-2.9287,82.65,36,0,10.36,MA,1628440589
146,constitucion,-35.3333,-72.4167,53.22,55,99,4.14,CL,1628440543
147,cayenne,4.9333,-52.3333,87.1,76,40,5.01,GF,1628440524
148,honiara,-9.4333,159.95,76.32,88,99,3.44,SB,1628440611
149,port blair,11.6667,92.75,82.45,83,88,10.42,IN,1628440374
150,quatre cocos,-20.2078,57.7625,69.1,90,95,20.27,MU,1628440497
151,bestobe,52.4994,73.0975,62.73,79,71,5.28,KZ,1628440615
152,college,64.8569,-147.8028,55.83,88,75,4.61,US,1628440616
153,talnakh,69.4865,88.3972,62.47,48,0,3.94,RU,1628440469
154,leningradskiy,69.3833,178.4167,36.43,83,59,15.17,RU,1628440428
155,husavik,66.0449,-17.3389,58.91,84,33,8.34,IS,1628440620
156,oistins,13.0667,-59.5333,87.89,74,40,21.85,BB,1628440621
157,zonguldak,41.25,31.8333,65.55,91,97,2.33,TR,1628440622
158,jalu,29.0331,21.5482,98.06,15,0,10.67,LY,1628440607
159,marawi,7.9986,124.2928,67.64,94,100,2.89,PH,1628440568
160,broome,42.2506,-75.833,80.58,61,1,1.99,US,1628440626
161,saint-philippe,-21.3585,55.7679,69.31,83,33,8.63,RE,1628440412
162,port said,31.2565,32.2841,87.78,70,0,8.05,EG,1628440300
163,prestea,5.4327,-2.1428,80.33,72,96,6.46,GH,1628440629
164,hammerfest,70.6634,23.6821,73.85,35,0,13.8,NO,1628440631
165,avera,33.194,-82.5271,86.59,47,13,2.44,US,1628440468
